 16 2
 801 19.9999997060053971 6
 6 6 4 4
  Initial (DFT) energy, eV, spin  1
    n      Energy
    1    -3.869077740    
    2    -2.590580861    
    3    -2.000722362    
    4    -1.384123360    
    5    -1.086738547    
    6   -0.8246915784    
  Initial self-energy (VXC) diagonal, eV, spin  1
    n      <n|V_xc|n>
    1    -4.671805672    
    2    -4.128403149    
    3    -3.383169572    
    4    -3.265678336    
    5    -3.438981753    
    6    -3.222475168    
  Bare exchange diagonal, eV, spin  1
    n      <n|Sigma_x|n>
    1    -6.746901092    
    2    -5.584810081    
    3    -1.232620415    
    4    -1.023869346    
    5    -1.428369620    
    6    -1.095433995    
  Static correlation diagonal, eV, spin  1
    n      <n|Sigma_c|n>
    1   -0.2116942203    
    2   -0.2361718545    
    3   -0.2014845670    
    4   -0.2508882460    
    5   -0.3206489236    
    6   -0.2767558370    
  Static vertex diagonal, eV, spin  1
    n      <n|Sigma_g|n>
    1    0.1507025694    
    2    0.1977786353    
    3    0.1852237030    
    4    0.2120026362    
    5    0.2713611283    
    6    0.2612449088    
  Correlation diagonal, eV, spin  1
    n         E                  <n|Sigma_c(E)|n>, complex
    1    -5.294077719        0.9593717805E-01    0.8589782978    
    1    -5.269077720        0.6831727196E-01    0.8639130414    
    1    -5.244077720        0.3784847653E-01    0.8700829956    
    1    -5.219077720        0.4356368467E-02    0.8788900577    
    1    -5.194077721       -0.3186610992E-01    0.8917580192    
    1    -5.169077721       -0.7012300343E-01    0.9100029775    
    1    -5.144077721       -0.1093933394        0.9347679079    
    1    -5.119077722       -0.1483858493        0.9670010688    
    1    -5.094077722       -0.1855555643         1.007446366    
    1    -5.069077723       -0.2190863873         1.056614854    
    1    -5.044077723       -0.2468572295         1.114712821    
    1    -5.019077723       -0.2664202790         1.181509785    
    1    -4.994077724       -0.2750316802         1.256140965    
    1    -4.969077724       -0.2697869105         1.336858948    
    1    -4.944077724       -0.2479179151         1.420784591    
    1    -4.919077725       -0.2072898748         1.503757974    
    1    -4.894077725       -0.1470705729         1.580438941    
    1    -4.869077726       -0.6842686320E-01     1.644809112    
    1    -4.844077726        0.2502943450E-01     1.691124983    
    1    -4.819077726        0.1273653945         1.715149919    
    1    -4.794077727        0.2311802962         1.715252113    
    1    -4.769077727        0.3290063410         1.692893056    
    1    -4.744077727        0.4147639491         1.652266835    
    1    -4.719077728        0.4847470902         1.599256311    
    1    -4.694077728        0.5378876674         1.540155467    
    1    -4.669077728        0.5754016730         1.480595133    
    1    -4.644077729        0.6001151355         1.424885786    
    1    -4.619077729        0.6157502658         1.375757536    
    1    -4.594077730        0.6263205123         1.334360092    
    1    -4.569077730        0.6356537721         1.300388538    
    1    -4.544077730        0.6469949269         1.272268715    
    1    -4.519077731        0.6626406349         1.247412767    
    1    -4.494077731        0.6836153086         1.222599708    
    1    -4.469077731        0.7094745349         1.194517328    
    1    -4.444077732        0.7383656837         1.160412822    
    1    -4.419077732        0.7674265520         1.118683901    
    1    -4.394077732        0.7934572542         1.069193199    
    1    -4.369077733        0.8136476361         1.013177273    
    1    -4.344077733        0.8261058425        0.9528066910    
    1    -4.319077734        0.8300469090        0.8906021438    
    1    -4.294077734        0.8256706726        0.8289259367    
    1    -4.269077734        0.8138670842        0.7696713334    
    1    -4.244077735        0.7958943216        0.7141562855    
    1    -4.219077735        0.7731202953        0.6631599186    
    1    -4.194077735        0.7468566268        0.6170276875    
    1    -4.169077736        0.7182749657        0.5757896889    
    1    -4.144077736        0.6883804851        0.5392616095    
    1    -4.119077737        0.6580170542        0.5071170262    
    1    -4.094077737        0.6278838271        0.4789312466    
    1    -4.069077737        0.5985488594        0.4542030112    
    1    -4.044077738        0.5704506622        0.4323640541    
    1    -4.019077738        0.5438843582        0.4127892176    
    1    -3.994077738        0.5189768020        0.3948206690    
    1    -3.969077739        0.4956643150        0.3778158163    
    1    -3.944077739        0.4736932572        0.3612171518    
    1    -3.919077739        0.4526602558        0.3446260050    
    1    -3.894077740        0.4320920449        0.3278512193    
    1    -3.869077740        0.4115424875        0.3109094417    
    1    -3.844077741        0.3906729409        0.2939757848    
    1    -3.819077741        0.3692912162        0.2773068358    
    1    -3.794077741        0.3473462222        0.2611660565    
    1    -3.769077742        0.3248934284        0.2457724497    
    1    -3.744077742        0.3020512540        0.2312776613    
    1    -3.719077742        0.2789630006        0.2177653155    
    1    -3.694077743        0.2557705179        0.2052627134    
    1    -3.669077743        0.2325995680        0.1937566228    
    1    -3.644077744        0.2095540310        0.1832081894    
    1    -3.619077744        0.1867156737        0.1735648446    
    1    -3.594077744        0.1641468833        0.1647688264    
    1    -3.569077745        0.1418946649        0.1567627348    
    1    -3.544077745        0.1199949488        0.1494927661    
    1    -3.519077745        0.9847675287E-01    0.1429102015    
    1    -3.494077746        0.7736602440E-01    0.1369715527    
    1    -3.469077746        0.5668910078E-01    0.1316375669    
    1    -3.444077746        0.3647570929E-01    0.1268711205    
    1    -3.419077747        0.1676129608E-01    0.1226339019    
    1    -3.394077747       -0.2411769610E-02    0.1188817634    
    1    -3.369077748       -0.2099490117E-01    0.1155587825    
    1    -3.344077748       -0.3893701880E-01    0.1125905495    
    1    -3.319077748       -0.5619246521E-01    0.1098780917    
    1    -3.294077749       -0.7273365267E-01    0.1072950520    
    1    -3.269077749       -0.8856717459E-01    0.1046917101    
    1    -3.244077749       -0.1037491717        0.1019089786    
    1    -3.219077750       -0.1183929842        0.9880237721E-01
    1    -3.194077750       -0.1326622164        0.9527043289E-01
    1    -3.169077750       -0.1467473601        0.9127704795E-01
    1    -3.144077751       -0.1608324166        0.8685771108E-01
    1    -3.119077751       -0.1750638251        0.8210644398E-01
    1    -3.094077752       -0.1895326208        0.7714964958E-01
    1    -3.069077752       -0.2042732838        0.7211790625E-01
    1    -3.044077752       -0.2192751054        0.6712480885E-01
    1    -3.019077753       -0.2344986712        0.6225630458E-01
    1    -2.994077753       -0.2498913086        0.5756907210E-01
    1    -2.969077753       -0.2653984270        0.5309439835E-01
    1    -2.944077754       -0.2809702993        0.4884421818E-01
    1    -2.919077754       -0.2965652010        0.4481714743E-01
    1    -2.894077755       -0.3121501600        0.4100348575E-01
    1    -2.869077755       -0.3277003878        0.3738892670E-01
    1    -2.844077755       -0.3431981278        0.3395709558E-01
    1    -2.819077756       -0.3586313584        0.3069116975E-01
    1    -2.794077756       -0.3739925735        0.2757484116E-01
    1    -2.769077756       -0.3892777343        0.2459283597E-01
    1    -2.744077757       -0.4044854137        0.2173115044E-01
    1    -2.719077757       -0.4196161208        0.1897711423E-01
    1    -2.694077757       -0.4346717798        0.1631935410E-01
    1    -2.669077758       -0.4496553336        0.1374770536E-01
    1    -2.644077758       -0.4645704461        0.1125309958E-01
    1    -2.619077759       -0.4794212805        0.8827445926E-02
    1    -2.594077759       -0.4942123356        0.6463515598E-02
    1    -2.569077759       -0.5089483262        0.4154834418E-02
    1    -2.544077760       -0.5236340962        0.1895585702E-02
    1    -2.519077760       -0.5382745558       -0.3194760127E-03
    1    -2.494077760       -0.5528746373       -0.2495100748E-02
    1    -2.469077761       -0.5674392651       -0.4635609169E-02
    1    -2.444077761       -0.5819733346       -0.6744949988E-02
    1    -2.419077762       -0.5964816995       -0.8826749708E-02
    1    -2.394077762       -0.6109691641       -0.1088435573E-01
    1    -2.369077762       -0.6254404799       -0.1292087372E-01
    1    -2.344077763       -0.6399003450       -0.1493920006E-01
    1    -2.319077763       -0.6543534060       -0.1694205015E-01
